2018-08-23 20:03:53 chartsDataCollector died, spawning replacement...
2018-08-23 20:06:56 chartsDataCollector died, spawning replacement...
2018-08-23 20:09:58 chartsDataCollector died, spawning replacement...
2018-08-23 20:13:00 chartsDataCollector died, spawning replacement...
2018-08-23 20:19:47 chartsDataCollector died, spawning replacement...
2018-08-23 20:22:49 chartsDataCollector died, spawning replacement...
2018-08-23 20:25:52 chartsDataCollector died, spawning replacement...
2018-08-23 20:28:54 chartsDataCollector died, spawning replacement...
2018-08-23 20:31:56 chartsDataCollector died, spawning replacement...
2018-08-23 20:34:59 chartsDataCollector died, spawning replacement...
2018-08-23 20:38:01 chartsDataCollector died, spawning replacement...
2018-08-23 20:41:03 chartsDataCollector died, spawning replacement...
2018-08-23 20:47:47 chartsDataCollector died, spawning replacement...
2018-08-23 20:57:07 chartsDataCollector died, spawning replacement...
2018-08-23 21:00:09 chartsDataCollector died, spawning replacement...
2018-08-23 21:03:12 chartsDataCollector died, spawning replacement...
2018-08-23 21:06:14 chartsDataCollector died, spawning replacement...
2018-08-23 21:09:16 chartsDataCollector died, spawning replacement...
2018-08-23 21:12:18 chartsDataCollector died, spawning replacement...
2018-08-23 21:15:21 chartsDataCollector died, spawning replacement...
2018-08-23 21:18:23 chartsDataCollector died, spawning replacement...
2018-08-23 21:21:25 chartsDataCollector died, spawning replacement...
2018-08-23 21:24:28 chartsDataCollector died, spawning replacement...
2018-08-23 21:27:30 chartsDataCollector died, spawning replacement...
2018-08-23 21:30:32 chartsDataCollector died, spawning replacement...
2018-08-23 21:33:35 chartsDataCollector died, spawning replacement...
2018-08-23 21:36:37 chartsDataCollector died, spawning replacement...
2018-08-23 21:39:39 chartsDataCollector died, spawning replacement...
2018-08-23 21:42:42 chartsDataCollector died, spawning replacement...
2018-08-23 21:45:44 chartsDataCollector died, spawning replacement...
2018-08-23 21:48:46 chartsDataCollector died, spawning replacement...
2018-08-23 21:51:48 chartsDataCollector died, spawning replacement...
2018-08-23 21:54:51 chartsDataCollector died, spawning replacement...
2018-08-23 21:57:53 chartsDataCollector died, spawning replacement...
2018-08-23 22:00:55 chartsDataCollector died, spawning replacement...
2018-08-23 22:03:58 chartsDataCollector died, spawning replacement...
2018-08-23 22:07:00 chartsDataCollector died, spawning replacement...
2018-08-23 22:10:02 chartsDataCollector died, spawning replacement...
2018-08-23 22:13:05 chartsDataCollector died, spawning replacement...
2018-08-23 22:16:07 chartsDataCollector died, spawning replacement...
2018-08-23 22:19:09 chartsDataCollector died, spawning replacement...
2018-08-23 22:22:12 chartsDataCollector died, spawning replacement...
2018-08-23 22:25:14 chartsDataCollector died, spawning replacement...
2018-08-23 22:28:16 chartsDataCollector died, spawning replacement...
2018-08-23 22:31:18 chartsDataCollector died, spawning replacement...
2018-08-23 22:34:21 chartsDataCollector died, spawning replacement...
2018-08-23 22:37:23 chartsDataCollector died, spawning replacement...
2018-08-23 22:40:25 chartsDataCollector died, spawning replacement...
2018-08-23 22:43:28 chartsDataCollector died, spawning replacement...
2018-08-23 22:46:30 chartsDataCollector died, spawning replacement...
2018-08-23 22:49:32 chartsDataCollector died, spawning replacement...
2018-08-23 22:52:34 chartsDataCollector died, spawning replacement...
2018-08-23 22:55:37 chartsDataCollector died, spawning replacement...
2018-08-23 22:58:39 chartsDataCollector died, spawning replacement...
2018-08-23 23:01:41 chartsDataCollector died, spawning replacement...
2018-08-23 23:04:44 chartsDataCollector died, spawning replacement...
2018-08-23 23:07:46 chartsDataCollector died, spawning replacement...
2018-08-23 23:10:48 chartsDataCollector died, spawning replacement...
2018-08-23 23:13:50 chartsDataCollector died, spawning replacement...
2018-08-23 23:16:53 chartsDataCollector died, spawning replacement...
